qt=0.05,qt=0.5,qt=0.95,date
-0.7074111434337605,-0.6143878892162316,-0.5610500914388995,2015-05-30
-0.8585187644371874,-0.7482006218131804,-0.6822237163198576,2015-05-31
-0.9843684495000359,-0.8603169069180272,-0.7890837775753465,2015-06-01
-1.0213829579111786,-0.8918254666895454,-0.8207377384282128,2015-06-02
-1.0292500799344453,-0.8996917228582424,-0.8284880363914312,2015-06-03
-0.7457129880960408,-0.6466103722925874,-0.589971036731011,2015-06-04
-0.7999357673701518,-0.6947087340332485,-0.634360256958345,2015-06-05
-1.0108576763104944,-0.8849113228498178,-0.8135813490925006,2015-06-06
-0.7156048545221225,-0.6219717046331602,-0.5681928361998757,2015-06-07
-0.6120875422402196,-0.5301121817312808,-0.48401640915907646,2015-06-08
-0.9334239835369941,-0.8108532639665815,-0.7421806506753729,2015-06-09
-0.6597714536651967,-0.570747547479364,-0.5206240103239548,2015-06-10
-0.6776583375527221,-0.5872251290117418,-0.5354724225629943,2015-06-11
-0.8066683755529267,-0.6996743552619458,-0.6383204469630064,2015-06-12
-0.8773521848755361,-0.7596839502291457,-0.6934427289778912,2015-06-13
-0.6372271998088416,-0.5504717082589343,-0.5017496214930882,2015-06-14
-0.72566915054658,-0.6268307847370809,-0.5711835084293849,2015-06-15
-0.8679845765426252,-0.753296122146025,-0.6878436807236253,2015-06-16
-0.8783733075625241,-0.7618892325223634,-0.6961084816384939,2015-06-17
-0.7226790933017773,-0.6261084103245773,-0.5709349302964789,2015-06-18
-0.9366335129498315,-0.8153716586567881,-0.747057928044518,2015-06-19
-0.9526729844029801,-0.8297731438176588,-0.7606101014608078,2015-06-20
-0.5529563860979557,-0.47936969457514633,-0.4381039110098256,2015-06-21
-0.9004409244861689,-0.7806888470704023,-0.7147191971582788,2015-06-22
-0.7367740448691336,-0.6406674545652069,-0.5855500856367213,2015-06-23
-0.9442533905566184,-0.8206318602209991,-0.7525991181439902,2015-06-24
-0.6680301852278104,-0.5794795934453609,-0.5301208840624183,2015-06-25
-0.9896291533585911,-0.8619961226032504,-0.7907281754712282,2015-06-26
-1.0030620113975632,-0.8747279225827822,-0.8022580472427997,2015-06-27
-0.9783327855831064,-0.8516995419491231,-0.7810177702647649,2015-06-28
-1.003866101465493,-0.874662745267875,-0.8025505180256752,2015-06-29
-0.8055284144324454,-0.6993757366355288,-0.6392999966854798,2015-06-30
-0.6774434184413867,-0.5886136170512417,-0.53788889021609,2015-07-01
-0.942758754112655,-0.8203642932647607,-0.751533953284817,2015-07-02
-0.8489620499036342,-0.7358668543898554,-0.6717624071733023,2015-07-03
-0.842611687403218,-0.7286714609777889,-0.6652660309306883,2015-07-04
-0.8618519083079694,-0.7440025878601246,-0.6787883759151503,2015-07-05
-0.8478828685833283,-0.7303006032355989,-0.6649813415819604,2015-07-06
-0.74405958807845,-0.6464951934322095,-0.5905330484651004,2015-07-07
-0.9696245794246622,-0.8442348143493645,-0.7752159677631916,2015-07-08
-0.9407933430941392,-0.8176450997167364,-0.7497599420004908,2015-07-09
-0.9181870883033877,-0.7942823777495495,-0.7264344684185785,2015-07-10
-0.9201656893115577,-0.7958249813702203,-0.7274589981165184,2015-07-11
-0.8701884740267029,-0.7524715341474247,-0.6865777306839418,2015-07-12
-0.7460892585159598,-0.646356691963063,-0.5907872067428618,2015-07-13
-0.8179549717832252,-0.7101435837730123,-0.6498379881178191,2015-07-14
-0.9423387006061456,-0.8223584113637232,-0.7549849257916713,2015-07-15
,,,2015-07-16
-0.49269327286702536,-0.43049840099765646,-0.39557201096727596,2015-07-17
-0.8730937609673957,-0.7569517556484582,-0.6923917214285266,2015-07-18
-0.8606293160521981,-0.7480740533168317,-0.685643651461193,2015-07-19
-0.8067922217294056,-0.7025346404799873,-0.6453026086252209,2015-07-20
-0.9638824355635718,-0.8446290893657491,-0.7793211252358995,2015-07-21
-1.032384663373059,-0.9086883075183837,-0.8417670360492597,2015-07-22
-1.0517319226819937,-0.9267850224993357,-0.8609716467439988,2015-07-23
-0.9962762260877016,-0.8755367489122858,-0.81022763787367,2015-07-24
-1.000452261231904,-0.8816749934726338,-0.8165315761750632,2015-07-25
-1.0865048723667152,-0.9595627235704829,-0.8964307213248125,2015-07-26
-1.1103627759306658,-0.9829746869751947,-0.9190327337900954,2015-07-27
-1.1216985152031274,-0.9954567459675432,-0.9326011246786443,2015-07-28
-1.121901355278832,-1.0018392089632366,-0.9403273680741305,2015-07-29
-1.1177797136190126,-1.0058690677033177,-0.9500571808791489,2015-07-30
-1.1630157247842732,-1.0462596930233263,-0.9899049950211143,2015-07-31
-1.1722636336028596,-1.0566869477676266,-1.0009402445096025,2015-08-01
-1.1475291055335661,-1.0496196382888192,-1.0007358032421758,2015-08-02
-0.9886016422578284,-0.8829288341299564,-0.8252765639550257,2015-08-03
-0.9443862155286576,-0.8409697582105751,-0.7841279631369789,2015-08-04
-1.0538214104024963,-0.9404356351032936,-0.8812109677527875,2015-08-05
-1.0416428724338644,-0.9294615108622011,-0.8706758556361038,2015-08-06
-1.0964533507475984,-0.9837009765906178,-0.9254283893322536,2015-08-07
-1.0520434457143792,-0.9413635182134821,-0.8837742180774435,2015-08-08
-1.0771272587867236,-0.963966692500581,-0.9069503572214022,2015-08-09
-1.0187184491307235,-0.9217743728086071,-0.8705693440225079,2015-08-10
-1.106782554361107,-1.0052042624300823,-0.9525089902242196,2015-08-11
-1.1505027734892201,-1.034464188401344,-0.9783756060382047,2015-08-12
