qt=0.05,qt=0.5,qt=0.95,date
0.00027227820174875007,0.0005167027396390238,0.0008693065269006286,2015-05-30
0.0013590660081603358,0.0030142201321146527,0.004829076377899582,2015-05-31
0.004244869981676884,0.010568996771277584,0.015445173446803516,2015-06-01
0.005855743884119134,0.0147935291576656,0.021072731600743723,2015-06-02
0.006518181713519719,0.016357596252586176,0.023218481800985298,2015-06-03
0.0004259723272013491,0.000834162832705506,0.0013687176966713818,2015-06-04
0.0007629846955240426,0.0015904398606493085,0.00255298639327139,2015-06-05
0.005377760757827191,0.013480634401825497,0.019333178457780657,2015-06-06
0.0003051162331783324,0.0005792062866335776,0.0009480217238306093,2015-06-07
9.577600837074835e-05,0.0001673145088075841,0.0002773449702957815,2015-06-08
0.002769470754233645,0.006686823135647978,0.010293435834181101,2015-06-09
0.00016272862977152942,0.0002992405721322952,0.0004994173408663898,2015-06-10
0.00019911378776067785,0.0003680703282701557,0.0006151735102895204,2015-06-11
0.0008120295540746237,0.0017160169459098783,0.0027736602686784352,2015-06-12
0.0016780998317402298,0.0038049682523100883,0.005994961691846479,2015-06-13
0.0001269424144172505,0.00022965810652672306,0.00038061300166841467,2015-06-14
0.0003441850196158808,0.0006680643003108444,0.0011085940470360461,2015-06-15
0.0015228085577527238,0.003412822518521163,0.005400567815839467,2015-06-16
0.001688727535133393,0.003846609310827466,0.0060133599185114685,2015-06-17
0.0003301807963863149,0.0006368361999080104,0.001048078162159381,2015-06-18
0.0028670322981747226,0.006855474721997558,0.010377403340546612,2015-06-19
0.0032653600966666163,0.008037694567569864,0.012118647740555157,2015-06-20
4.913734675048314e-05,8.1659735829081e-05,0.00013217738959925206,2015-06-21
0.002061548214792834,0.004865149810311698,0.0075592931986998,2015-06-22
0.0003872213474719612,0.0007475120128266415,0.0012169080797379886,2015-06-23
0.0030537866986477652,0.007480974986776909,0.011384041747646678,2015-06-24
0.00018232024578978268,0.0003322761485282059,0.0005423994216959947,2015-06-25
0.004598701570425375,0.01156443882539744,0.016859710916814173,2015-06-26
0.005207381376797174,0.013098422800239368,0.01898595226382399,2015-06-27
0.004154061460754691,0.010395148163641097,0.015288160844479565,2015-06-28
0.005272791975908654,0.013256412897749544,0.019169647218589318,2015-06-29
0.0008166453036353553,0.0017042051283081062,0.0027243117431432822,2015-06-30
0.0001991345629045941,0.00036573909558408965,0.0006038048327445553,2015-07-01
0.0030004187269668495,0.007329592295263719,0.011194677697260636,2015-07-02
0.0012815882400348897,0.0027839750828343203,0.004437803744159892,2015-07-03
0.001209148040097509,0.002606653704644844,0.00418496222580194,2015-07-04
0.0014463689466029217,0.0032270317230252282,0.005242612739528907,2015-07-05
0.0012596252554545892,0.0028048755636449797,0.004574408637373454,2015-07-06
0.00041756087090607673,0.000814983970095976,0.0013349339691993021,2015-07-07
0.0037889269121660026,0.009468523048980628,0.014132471215984302,2015-07-08
0.0029462499976310686,0.007229511125177075,0.011038443419910131,2015-07-09
0.0024540391853820585,0.005846582664513827,0.009158073115444618,2015-07-10
0.002522396842469332,0.005987431833300225,0.009386913657766364,2015-07-11
0.001596352872400593,0.0035576015825948964,0.005663814819773817,2015-07-12
0.00044156664655706104,0.0008582760401789753,0.0013823387694839877,2015-07-13
0.000939477867679365,0.001974455801566977,0.003138791590543214,2015-07-14
0.003008886521916047,0.00731437777156139,0.010959710263809201,2015-07-15
,,,2015-07-16
2.558583319475871e-05,3.930257456109048e-05,6.115101191361358e-05,2015-07-17
0.0016580901825034358,0.0037071256278603483,0.005826600135220719,2015-07-18
0.0014913370657398735,0.003210880016039806,0.005038654906242023,2015-07-19
0.0008640809305782973,0.001755904438085678,0.002776613205643053,2015-07-20
0.003790670807206302,0.00914563149112312,0.013218275503800047,2015-07-21
0.006934642730594542,0.01712506050848153,0.023957709524719265,2015-07-22
