qt=0.05,qt=0.5,qt=0.95,date
-0.32049935331661655,-0.2887476467213733,-0.24496021939676624,2015-05-30
-0.38188306357930507,-0.3443265435818876,-0.2925437767163384,2015-05-31
-0.42507100094328387,-0.38658200443037133,-0.3310796337003863,2015-06-01
-0.4372545569619085,-0.39860148070540313,-0.3426445857394629,2015-06-02
-0.44169409492802864,-0.4031099018373735,-0.34687649047513086,2015-06-03
-0.3417302600523915,-0.30892686208145503,-0.2632604367345404,2015-06-04
-0.3640843609936854,-0.32925657240656653,-0.2807597229119633,2015-06-05
-0.4359757630693756,-0.39748314399702633,-0.3419959167475243,2015-06-06
-0.3308316698264802,-0.2993461852321543,-0.2557271578097848,2015-06-07
-0.28381057381259367,-0.2562880443145588,-0.21860377969061226,2015-06-08
-0.4099766193772359,-0.3724324494528971,-0.31841064332599806,2015-06-09
-0.3027220820188894,-0.2730334945960429,-0.23218022521163786,2015-06-10
-0.31005895357864693,-0.2795879743113594,-0.23766831041196732,2015-06-11
-0.36321894620400896,-0.32779359276847536,-0.27844654239565114,2015-06-12
-0.38955492979491857,-0.35212456058448094,-0.29961461164930014,2015-06-13
-0.2925460450775573,-0.26370232106779673,-0.2241036293895355,2015-06-14
-0.3309555309822976,-0.2986050818235345,-0.25362115888586245,2015-06-15
-0.3873724409265236,-0.3503308601862617,-0.2984594424343413,2015-06-16
-0.3919548257626675,-0.3547484494492149,-0.3026773618003975,2015-06-17
-0.3316273184424788,-0.2995731927964356,-0.2551596542861308,2015-06-18
-0.41199406951128187,-0.3747018680361658,-0.3208647817178782,2015-06-19
-0.4184762023177245,-0.38069817889343893,-0.3264924751723753,2015-06-20
-0.2610430293720923,-0.23644380765413087,-0.20276948352108243,2015-06-21
-0.40315365431323463,-0.36610647192630985,-0.3136550711350172,2015-06-22
-0.3412382706257865,-0.30891374133014443,-0.2642812374286611,2015-06-23
-0.41825764554803146,-0.38084081166611605,-0.3273556418605121,2015-06-24
-0.31432621159427654,-0.2850293871329336,-0.24454088455540143,2015-06-25
-0.4318089123274643,-0.3938027633340083,-0.33892720049528985,2015-06-26
-0.43645120576463914,-0.39830387412706525,-0.34322981894448346,2015-06-27
