qt=0.05,qt=0.5,qt=0.95,date
-0.8381982052359939,-0.7377802444412636,-0.639754743600123,2015-05-30
-1.01668377658358,-0.8973517412815719,-0.7790406053193167,2015-05-31
-1.1823875809660203,-1.047738607948467,-0.9131892671030449,2015-06-01
-1.2394538146940866,-1.1030966888440779,-0.9629445166987204,2015-06-02
-1.2591556321453314,-1.124907929835564,-0.9828917175625861,2015-06-03
-0.8848815536103404,-0.779397256213892,-0.6772463367350311,2015-06-04
-0.9485914963633478,-0.8362310205078936,-0.7267387507752389,2015-06-05
-1.2217950468987362,-1.0858663250534935,-0.9493717372052976,2015-06-06
-0.7528492323129894,-0.6629979232417363,-0.5745306750679197,2015-06-07
-0.7278965999887642,-0.6404824735339614,-0.5561194659778494,2015-06-08
-1.1154350798168444,-0.9867430739991879,-0.8586574017758739,2015-06-09
-0.784868284880176,-0.6902574591826092,-0.5989642945797524,2015-06-10
-0.8050643342087891,-0.708271637646433,-0.6147548381370975,2015-06-11
-0.9579141124909188,-0.8436368768901029,-0.7322767512526558,2015-06-12
-1.0446008623416738,-0.9219560168222914,-0.8008422980771982,2015-06-13
-0.7594273624428884,-0.6672776752169266,-0.5788098043401723,2015-06-14
-0.8642265152603466,-0.759781129294296,-0.6594627710253977,2015-06-15
-1.0309936612992023,-0.9101742437809714,-0.7908915678968943,2015-06-16
-1.0443323692903923,-0.9223684917914055,-0.8018514721059059,2015-06-17
-0.8582852179550694,-0.7555271569602103,-0.6564223452825987,2015-06-18
-1.116816170604633,-0.9883763572872335,-0.8602076356656642,2015-06-19
-1.1406493916465625,-1.0103279349487928,-0.879994920056023,2015-06-20
-0.6574476343013161,-0.5789031415024155,-0.5034400260023791,2015-06-21
-1.071786304322562,-0.9483854735318971,-0.8260043514902959,2015-06-22
-0.8721668456772229,-0.7693023386613906,-0.6691520669806809,2015-06-23
-1.1293221149167023,-1.0010569220636099,-0.8731884566181516,2015-06-24
-0.7923149202893183,-0.6984699176904737,-0.6080550438255791,2015-06-25
-1.1953040962785637,-1.0633191417002392,-0.928229321750956,2015-06-26
-1.2164765297458298,-1.083815253503615,-0.9469049148608784,2015-06-27
