qt=0.05,qt=0.5,qt=0.95,date
-0.770955384415852,-0.6704374561577766,-0.5562335844826677,2015-05-30
-0.9366852894049764,-0.8152798082440105,-0.676309785399227,2015-05-31
-1.093165858148679,-0.9542281600797169,-0.7939868321327448,2015-06-01
-1.1513283332146769,-1.0074240454390044,-0.8403327252959297,2015-06-02
-1.1740340877947677,-1.0290705317302897,-0.8595186416586024,2015-06-03
-0.8144072834224353,-0.7094502451469176,-0.5897006674115148,2015-06-04
-0.8738266735213056,-0.7612253557423956,-0.6331356134269295,2015-06-05
-1.1331861438246222,-0.9913382347895597,-0.8273565897388557,2015-06-06
-0.6832557710621301,-0.5955131640974783,-0.49581044116188727,2015-06-07
-0.6691543299053354,-0.5831758743205431,-0.4848316927280193,2015-06-08
-1.0311204175976434,-0.8997265568752209,-0.7481064966529761,2015-06-09
-0.7213938842379045,-0.6280715810463819,-0.5213826539629899,2015-06-10
-0.7401915178103067,-0.6443291401471818,-0.5346981912513893,2015-06-11
-0.8819734550372316,-0.7673676372379431,-0.6370686615462984,2015-06-12
-0.9635283889125591,-0.8391618325889618,-0.6967025368635335,2015-06-13
-0.697650253624402,-0.6074259548568843,-0.5040783105903268,2015-06-14
-0.7944281236618536,-0.691486952880689,-0.5739346839088789,2015-06-15
-0.9511168525827234,-0.828579305913993,-0.6884844766779513,2015-06-16
-0.9637000577752348,-0.8399767467434863,-0.6984096495981393,2015-06-17
-0.7895738439195652,-0.6877786297615744,-0.571485515905157,2015-06-18
-1.032234010585487,-0.9009355230897567,-0.7497513036444489,2015-06-19
-1.0552825196585442,-0.9217245753961405,-0.7676279390577595,2015-06-20
-0.6046412072444706,-0.5279372395291904,-0.44025682823701084,2015-06-21
-0.9907961782704956,-0.8649963678518319,-0.720497109234024,2015-06-22
-0.803331350991876,-0.7006108972290638,-0.5835525010709381,2015-06-23
-1.0459142823111924,-0.9145433412578309,-0.7626024931334792,2015-06-24
-0.7293741569820237,-0.6369672630461538,-0.5313561386898398,2015-06-25
-1.1107577880012949,-0.9723212377983119,-0.8115124196129401,2015-06-26
-1.1317850409524413,-0.9917989082283396,-0.8285828548594787,2015-06-27
-1.0939347981571252,-0.9574642984186746,-0.7992058925891241,2015-06-28
-1.1342028486944082,-0.9946737319256549,-0.8318461751556352,2015-06-29
-0.8802036518674309,-0.7682374832860899,-0.6405158438928162,2015-06-30
-0.7388242683276567,-0.6442741436860722,-0.5362107284549548,2015-07-01
-1.0424248886450755,-0.910543197068872,-0.7581358262679503,2015-07-02
-0.9303107860167765,-0.8105629413101103,-0.6737393343343347,2015-07-03
-0.9245887362093406,-0.8055636687833231,-0.6697236609434493,2015-07-04
-0.9482244936497995,-0.8266707089577594,-0.6876527390724034,2015-07-05
-0.933698824298069,-0.8143683077479233,-0.6778271935204033,2015-07-06
-0.8116718172708518,-0.7073463939079474,-0.5885103648035135,2015-07-07
-1.0795444724537921,-0.9435823269123702,-0.7864140510896969,2015-07-08
-1.0409086432606522,-0.9096244043944457,-0.7579557727105338,2015-07-09
-1.0150673425850267,-0.8870319288265363,-0.73935086593148,2015-07-10
-1.018718969562107,-0.8906565932962587,-0.743112357206521,2015-07-11
-0.9573266664546463,-0.8361626491807237,-0.6976574062034778,2015-07-12
-0.8158637626411762,-0.7130898904258163,-0.595553083304644,2015-07-13
-0.8942737296395402,-0.7812601475581882,-0.6523474982210553,2015-07-14
-1.039676197002524,-0.910560446164103,-0.7614749997860665,2015-07-15
,,,2015-07-16
-0.5371114104894219,-0.4729084508827844,-0.39946204651954365,2015-07-17
-0.9599955294655055,-0.8414787006678761,-0.706194364333647,2015-07-18
-0.9434431316108054,-0.8275475277437789,-0.6955486189867114,2015-07-19
-0.8809575377404333,-0.7747496097912017,-0.6531037606837797,2015-07-20
-1.0660804201086322,-0.9392892903111953,-0.7926957999138454,2015-07-21
-1.170140018161788,-1.0349226521630641,-0.8770925775923413,2015-07-22
-1.2081229427252704,-1.0713491991272437,-0.911288405378067,2015-07-23
-1.1134724822857316,-0.9888779504715856,-0.8439790602444723,2015-07-24
-1.1167892788120442,-0.9926988387915961,-0.8485264311548574,2015-07-25
-1.2815293405510537,-1.1471153492114334,-0.9894589914199119,2015-07-26
-1.3422422871159565,-1.2095693028477281,-1.0532639868068396,2015-07-27
-1.3641828445314494,-1.2335395916146306,-1.0803524383445307,2015-07-28
-1.3439403398363199,-1.2189995042491053,-1.0733354485807662,2015-07-29
-1.2932634353471129,-1.1817846444673767,-1.054295169729946,2015-07-30
-1.388899314442955,-1.2787339369237936,-1.1524282013752045,2015-07-31
-1.4042783256524172,-1.2977119309705452,-1.1736794262899541,2015-08-01
-1.1616072436894305,-1.0924107833543506,-1.0143501773476735,2015-08-02
-1.083721020771932,-0.9727506351075639,-0.8453613338434313,2015-08-03
-1.027805794429548,-0.9192515245828438,-0.7946796217239213,2015-08-04
-1.1847428342043949,-1.0639959453447987,-0.9244394705906803,2015-08-05
-1.1631555843608767,-1.0456545557793977,-0.9100469443348603,2015-08-06
-1.2647741662592549,-1.1445595269634203,-1.0059442475102411,2015-08-07
-1.1812724873033666,-1.065722705719883,-0.9323694352393745,2015-08-08
-1.2280794624440263,-1.1093335073298682,-0.9734438056950963,2015-08-09
-1.1133028641940823,-1.0164589376164104,-0.9052460481932754,2015-08-10
-1.247819402979089,-1.1477846578147535,-1.0346175281926273,2015-08-11
-1.358808070014809,-1.246397377226239,-1.1168305867415107,2015-08-12
-1.3271164805348534,-1.2323325138526537,-1.1245746517741566,2015-08-13
-1.5665686270042536,-1.4566548861261959,-1.336388630906815,2015-08-14
-1.621251748125632,-1.5090631151986804,-1.3866503123487712,2015-08-15
