qt=0.05,qt=0.5,qt=0.95,date
7.898837769816494e-07,1.1659996253767789e-05,0.0002105124437461545,2015-05-30
8.866598142810329e-07,1.3717096968594213e-05,0.00026446848241014906,2015-05-31
1.051281298010078e-06,1.6465305733356105e-05,0.00032700530665608,2015-06-01
1.1519127107364194e-06,1.791068460102413e-05,0.0003546153468063885,2015-06-02
1.2296968643353606e-06,1.8925760522091212e-05,0.0003679797308237903,2015-06-03
1.067650167470577e-06,1.4873703309348661e-05,0.00023464251116273686,2015-06-04
1.1360816215347172e-06,1.587330181818026e-05,0.00025589069607322276,2015-06-05
1.359589106566936e-06,1.9530211018251217e-05,0.0003577797610655589,2015-06-06
1.0320251730656882e-06,1.3407641038980941e-05,0.00017792916319148554,2015-06-07
9.05050905877321e-07,1.2478409425544169e-05,0.00018425218874844443,2015-06-08
1.0824718429109381e-06,1.6236639396638827e-05,0.0003051603483864739,2015-06-09
8.484760688082894e-07,1.194516842831331e-05,0.000196636162295993,2015-06-10
8.543260073979412e-07,1.2184577742185902e-05,0.00020369441278302857,2015-06-11
9.19140458209721e-07,1.3628283746750965e-05,0.0002478248477091776,2015-06-12
9.019921272955402e-07,1.4055121269934067e-05,0.00027455665713766543,2015-06-13
7.942540213684108e-07,1.1304866877234613e-05,0.00018789517862158062,2015-06-14
8.890298627382745e-07,1.2789631923950058e-05,0.00022091558848444013,2015-06-15
1.0194215528346772e-06,1.5034505159075801e-05,0.0002754810317697954,2015-06-16
1.0804530662136646e-06,1.5607322719940426e-05,0.0002822908093999459,2015-06-17
1.011009545483978e-06,1.4165110999766342e-05,0.0002247862218997973,2015-06-18
1.2303703492554349e-06,1.7517387897247948e-05,0.0003113498490319285,2015-06-19
1.2982572474180897e-06,1.8273087986695972e-05,0.0003223315188544709,2015-06-20
1.0140684961921397e-06,1.3139084402696868e-05,0.0001754201020238087,2015-06-21
1.3410881922887945e-06,1.8622053854249323e-05,0.0003027390617460139,2015-06-22
1.2616358638764865e-06,1.677362346851949e-05,0.00023883706733670112,2015-06-23
1.4703639194108813e-06,2.0322691618555056e-05,0.0003279350759141292,2015-06-24
1.2819765609637313e-06,1.671686271899966e-05,0.00021834449530168628,2015-06-25
1.449751559918696e-06,2.0241790802521182e-05,0.0003506588274473786,2015-06-26
1.5201421511330098e-06,2.1202426828595327e-05,0.00036325718672867356,2015-06-27
1.5055339384286316e-06,2.0974565442597942e-05,0.0003465641822042049,2015-06-28
1.6436620935527727e-06,2.2778850423704562e-05,0.00036887437717309684,2015-06-29
1.4746536836176349e-06,1.9253326171254594e-05,0.0002714690137047246,2015-06-30
1.123964168461481e-06,1.497155257369449e-05,0.0002118482786880563,2015-07-01
1.2871039388994999e-06,1.8106131262437178e-05,0.00031760814699514445,2015-07-02
1.1112700383814333e-06,1.576759103126264e-05,0.00027148849836407794,2015-07-03
1.1224567526510252e-06,1.5895141124913475e-05,0.0002703987387425583,2015-07-04
1.1556671378265228e-06,1.635509777187257e-05,0.0002798041459624401,2015-07-05
1.1904356918543588e-06,1.6735609946836953e-05,0.0002770835216213065,2015-07-06
1.1356750361488045e-06,1.555000415897211e-05,0.0002368916070648622,2015-07-07
1.3496040974325337e-06,1.8927829729225204e-05,0.00033362968177060465,2015-07-08
1.3703025597037413e-06,1.9243637016178405e-05,0.0003214555000624835,2015-07-09
1.40996118469313e-06,1.9528870197996757e-05,0.000314663756326122,2015-07-10
1.499206129526139e-06,2.0508010932521802e-05,0.00031997322486638634,2015-07-11
1.5234552874652422e-06,2.0296636655192863e-05,0.00029902481178643376,2015-07-12
1.5321624749349386e-06,1.9742991148672618e-05,0.0002541033890736475,2015-07-13
1.6447884151555107e-06,2.13804433915307e-05,0.00028356942054063195,2015-07-14
1.9376411373580056e-06,2.4852503805957675e-05,0.00034605516936795353,2015-07-15
,,,2015-07-16
1.85580068898191e-06,1.9461474225195004e-05,0.00021243628188791618,2015-07-17
2.2625473889659453e-06,2.7359623881256667e-05,0.00033300440114561626,2015-07-18
2.5390121024718078e-06,2.8976688499623506e-05,0.00034277397171392384,2015-07-19
2.955213799113329e-06,3.185065359545471e-05,0.00036137925753367656,2015-07-20
3.539302312952306e-06,3.8640300354051786e-05,0.0004449554202897229,2015-07-21
4.317928035771275e-06,4.620599660531277e-05,0.000527081192952978,2015-07-22
5.018373467423733e-06,5.235270280965137e-05,0.000577886058762888,2015-07-23
6.346960588970676e-06,5.99395996324838e-05,0.0006090702354286392,2015-07-24
6.815858606760722e-06,6.371487680973228e-05,0.000626288885005497,2015-07-25
8.840981397864974e-06,8.029315376715099e-05,0.0007914901263449496,2015-07-26
1.2497555123358972e-05,0.00010547071397036851,0.000955388185906784,2015-07-27
1.6006095616654933e-05,0.00012714225104365267,0.0010792992004797608,2015-07-28
2.2881095663185747e-05,0.00016387187758323075,0.0012224268420300392,2015-07-29
4.24489022569003e-05,0.0002457878530362791,0.0015467533443874711,2015-07-30
7.189367371514553e-05,0.00036123706901969115,0.0020858296030579946,2015-07-31
9.05084036310377e-05,0.0004217934045174875,0.0023111737019496518,2015-08-01
